Element,HTML,Content
a,"<a aria-labelledby=""layout_27"" href=""https://www.eperolehan.gov.my/eprocurement"" id=""yui_patched_v3_11_0_1_1704388360426_210"" role=""menuitem"" tabindex=""-1"">ePerolehan</a>",ePerolehan
a,"<a aria-labelledby=""layout_28"" href=""https://www.eperolehan.gov.my/eprocurement-system"" id=""yui_patched_v3_11_0_1_1704388360426_212"" role=""menuitem"" tabindex=""-1"">Modul ePerolehan</a>",Modul ePerolehan
a,"<a aria-labelledby=""layout_130"" href=""https://www.eperolehan.gov.my/eprocurement-benefits"" id=""yui_patched_v3_11_0_1_1704388360426_214"" role=""menuitem"" tabindex=""-1"">Faedah ePerolehan</a>",Faedah ePerolehan
a,"<a aria-labelledby=""layout_30"" href=""https://www.eperolehan.gov.my/ep-statistic"" id=""yui_patched_v3_11_0_1_1704388360426_216"" role=""menuitem"" tabindex=""-1"">Statistik ePerolehan</a>",Statistik ePerolehan
a,"<a aria-labelledby=""layout_31"" href=""https://www.eperolehan.gov.my/client-charter"" id=""yui_patched_v3_11_0_1_1704388360426_218"" role=""menuitem"" tabindex=""-1"">Piagam Pelanggan</a>",Piagam Pelanggan
a,"<a aria-haspopup=""true"" aria-labelledby=""layout_8"" class=""dropdown-toggle"" href=""https://www.eperolehan.gov.my/ep-users"" id=""yui_patched_v3_11_0_1_1704388360426_220"" role=""menuitem"" tabindex=""-1""> PENGGUNA eP </a>",PENGGUNA eP
a,"<a aria-labelledby=""layout_18"" href=""https://www.eperolehan.gov.my/government"" id=""yui_patched_v3_11_0_1_1704388360426_222"" role=""menuitem"" tabindex=""-1"">Pengguna Kerajaan</a>",Pengguna Kerajaan
a,"<a aria-labelledby=""layout_21"" href=""https://www.eperolehan.gov.my/supplier"" id=""yui_patched_v3_11_0_1_1704388360426_224"" role=""menuitem"" tabindex=""-1"">Pembekal</a>",Pembekal
a,"<a aria-haspopup=""true"" aria-labelledby=""layout_10"" class=""dropdown-toggle"" href=""https://www.eperolehan.gov.my/value-added-services"" id=""yui_patched_v3_11_0_1_1704388360426_226"" role=""menuitem"" tabindex=""-1""> PERKHIDMATAN TAMBAHAN </a>",PERKHIDMATAN TAMBAHAN
a,"<a aria-labelledby=""layout_53"" href=""https://www.eperolehan.gov.my/eperolehan-centre"" id=""yui_patched_v3_11_0_1_1704388360426_228"" role=""menuitem"" tabindex=""-1"">ePerolehan Centre</a>",ePerolehan Centre
a,"<a aria-labelledby=""layout_121"" href=""https://www.eperolehan.gov.my/ministry-coordinator-officer"" id=""yui_patched_v3_11_0_1_1704388360426_230"" role=""menuitem"" tabindex=""-1"">Pegawai Penyelaras Kementerian</a>",Pegawai Penyelaras Kementerian
a,"<a aria-labelledby=""layout_133"" href=""https://www.eperolehan.gov.my/supplier-and-government-training"" id=""yui_patched_v3_11_0_1_1704388360426_232"" role=""menuitem"" tabindex=""-1"">Latihan Pembekal Dan Kerajaan</a>",Latihan Pembekal Dan Kerajaan
a,"<a aria-labelledby=""layout_60"" href=""https://www.eperolehan.gov.my/eperolehan-sms-services"" id=""yui_patched_v3_11_0_1_1704388360426_234"" role=""menuitem"" tabindex=""-1"">Perkhidmatan SMS ePerolehan</a>",Perkhidmatan SMS ePerolehan
a,"<a aria-labelledby=""layout_101"" href=""https://www.eperolehan.gov.my/contact-centre"" id=""yui_patched_v3_11_0_1_1704388360426_236"" role=""menuitem"" tabindex=""-1"">Pusat Khidmat Pelanggan</a>",Pusat Khidmat Pelanggan
a,"<a aria-haspopup=""true"" aria-labelledby=""layout_12"" class=""dropdown-toggle"" href=""https://www.eperolehan.gov.my/help-and-reference"" id=""yui_patched_v3_11_0_1_1704388360426_238"" role=""menuitem"" tabindex=""-1""> BANTUAN DAN RUJUKAN </a>",BANTUAN DAN RUJUKAN
a,"<a aria-labelledby=""layout_71"" href=""https://www.eperolehan.gov.my/faq-government"" id=""yui_patched_v3_11_0_1_1704388360426_240"" role=""menuitem"" tabindex=""-1"">Soalan Lazim - Kerajaan</a>",Soalan Lazim - Kerajaan
a,"<a aria-labelledby=""layout_72"" href=""https://www.eperolehan.gov.my/faq-supplier"" id=""yui_patched_v3_11_0_1_1704388360426_242"" role=""menuitem"" tabindex=""-1"">Soalan Lazim - Pembekal</a>",Soalan Lazim - Pembekal
a,"<a aria-labelledby=""layout_74"" href=""https://www.eperolehan.gov.my/video-gallery"" id=""yui_patched_v3_11_0_1_1704388360426_244"" role=""menuitem"" tabindex=""-1"">Galeri Video</a>",Galeri Video
a,"<a aria-labelledby=""layout_189"" href=""https://www.eperolehan.gov.my/pembekal-hadir-latihan"" id=""yui_patched_v3_11_0_1_1704388360426_246"" role=""menuitem"" tabindex=""-1"">Pembekal Hadir Latihan</a>",Pembekal Hadir Latihan
a,"<a aria-labelledby=""layout_192"" href=""https://www.eperolehan.gov.my/supplier-briefing-locations"" id=""yui_patched_v3_11_0_1_1704388360426_248"" role=""menuitem"" tabindex=""-1"">Lokasi Taklimat Pembekal</a>",Lokasi Taklimat Pembekal
a,"<a aria-haspopup=""true"" aria-labelledby=""layout_36"" class=""dropdown-toggle"" href=""https://www.eperolehan.gov.my/downloads"" id=""yui_patched_v3_11_0_1_1704388360426_250"" role=""menuitem"" tabindex=""-1""> MUAT TURUN </a>",MUAT TURUN
a,"<a aria-labelledby=""layout_137"" href=""https://www.eperolehan.gov.my/download-1pp-pk5"" id=""yui_patched_v3_11_0_1_1704388360426_252"" role=""menuitem"" tabindex=""-1"">Muat Turun 1PP - PK5</a>",Muat Turun 1PP - PK5
a,"<a aria-labelledby=""layout_38"" href=""https://www.eperolehan.gov.my/download-supplier"" id=""yui_patched_v3_11_0_1_1704388360426_254"" role=""menuitem"" tabindex=""-1"">Muat Turun - Manual Pengguna</a>",Muat Turun - Manual Pengguna
a,"<a aria-labelledby=""layout_180"" href=""https://www.eperolehan.gov.my/supplier-registration-guide"" id=""yui_patched_v3_11_0_1_1704388360426_256"" role=""menuitem"" tabindex=""-1"">Muat Turun - Panduan Pendaftaran Syarikat</a>",Muat Turun - Panduan Pendaftaran Syarikat
a,"<a aria-labelledby=""layout_183"" href=""https://www.eperolehan.gov.my/download-guideline/procedure"" id=""yui_patched_v3_11_0_1_1704388360426_258"" role=""menuitem"" tabindex=""-1"">Muat Turun - Garis Panduan/Tatacara</a>",Muat Turun - Garis Panduan/Tatacara
a,"<a aria-haspopup=""true"" aria-labelledby=""layout_127"" class=""dropdown-toggle"" id=""yui_patched_v3_11_0_1_1704388360426_260"" role=""menuitem"" tabindex=""-1""> PAUTAN SEGERA </a>",PAUTAN SEGERA
a,"<a aria-labelledby=""layout_62"" href=""https://www.eperolehan.gov.my/online-registration"" id=""yui_patched_v3_11_0_1_1704388360426_262"" role=""menuitem"" tabindex=""-1"">Pendaftaran Pembekal Baharu</a>",Pendaftaran Pembekal Baharu
a,"<a aria-labelledby=""layout_100"" href=""https://www.eperolehan.gov.my/circulars"" id=""yui_patched_v3_11_0_1_1704388360426_264"" role=""menuitem"" tabindex=""-1"">Senarai Pekeliling Perbendaharaan Kontrak Pusat / Sistem Panel</a>",Senarai Pekeliling Perbendaharaan Kontrak Pusat / Sistem Panel
a,"<a aria-labelledby=""layout_15"" href=""https://www.eperolehan.gov.my/e-catalogue"" id=""yui_patched_v3_11_0_1_1704388360426_266"" role=""menuitem"" tabindex=""-1"">Senarai Katalog</a>",Senarai Katalog
a,"<a aria-labelledby=""layout_164"" href=""https://www.eperolehan.gov.my/category-code-listing"" id=""yui_patched_v3_11_0_1_1704388360426_268"" role=""menuitem"" tabindex=""-1"">Senarai Kod Bidang</a>",Senarai Kod Bidang
a,"<a aria-labelledby=""layout_14"" href=""https://www.eperolehan.gov.my/quotation-tender-notice"" id=""yui_patched_v3_11_0_1_1704388360426_270"" role=""menuitem"" tabindex=""-1"">Notis Sebut Harga / Tender</a>",Notis Sebut Harga / Tender
a,"<a aria-labelledby=""layout_158"" href=""https://www.eperolehan.gov.my/item-code-search"" id=""yui_patched_v3_11_0_1_1704388360426_272"" role=""menuitem"" tabindex=""-1"">Carian Kod Item</a>",Carian Kod Item
a,"<a aria-labelledby=""layout_159"" href=""https://www.eperolehan.gov.my/company-profile-market-research"" id=""yui_patched_v3_11_0_1_1704388360426_274"" role=""menuitem"" tabindex=""-1"">Permohonan Akses Maklumat Syarikat / Kajian Pasaran</a>",Permohonan Akses Maklumat Syarikat / Kajian Pasaran
a,"<a aria-labelledby=""layout_163"" href=""https://www.eperolehan.gov.my/lodge-complaints"" id=""yui_patched_v3_11_0_1_1704388360426_276"" role=""menuitem"" tabindex=""-1"">Aduan Tindakan Tatatertib Terhadap Pembekal / Perunding</a>",Aduan Tindakan Tatatertib Terhadap Pembekal / Perunding
a,"<a aria-labelledby=""layout_11"" href=""https://www.eperolehan.gov.my/epol"" id=""yui_patched_v3_11_0_1_1704388360426_278"" role=""menuitem"" tabindex=""-1"">ePerolehan Online Learning</a>",ePerolehan Online Learning
a,"<a aria-labelledby=""layout_195"" href=""https://bi.eperolehan.gov.my"" id=""yui_patched_v3_11_0_1_1704388360426_280"" role=""menuitem"" tabindex=""-1"" target=""_blank"">Laporan eP BI</a>",Laporan eP BI
a,"<a aria-labelledby=""layout_176"" href=""https://www.eperolehan.gov.my/resend-activation-email"" id=""yui_patched_v3_11_0_1_1704388360426_282"" role=""menuitem"" tabindex=""-1"">Hantar Semula E-mel Pengaktifan (Pembekal)</a>",Hantar Semula E-mel Pengaktifan (Pembekal)
a,"<a aria-labelledby=""layout_175"" href=""https://www.eperolehan.gov.my/supplier-onboarding"" id=""yui_patched_v3_11_0_1_1704388360426_284"" role=""menuitem"" tabindex=""-1"">Permohonan ID Log Masuk Dan Kata Laluan Baharu (Pembekal)</a>",Permohonan ID Log Masuk Dan Kata Laluan Baharu (Pembekal)
a,"<a aria-labelledby=""layout_154"" href=""https://www.eperolehan.gov.my/reactivate-basic-account"" id=""yui_patched_v3_11_0_1_1704388360426_286"" role=""menuitem"" tabindex=""-1"">Pengaktifan Semula Akaun Asas</a>",Pengaktifan Semula Akaun Asas
a,"<a aria-labelledby=""layout_168"" href=""https://www.eperolehan.gov.my/replace-supplier-admin"" id=""yui_patched_v3_11_0_1_1704388360426_288"" role=""menuitem"" tabindex=""-1"">Penggantian Pentadbir Pembekal</a>",Penggantian Pentadbir Pembekal
a,"<a aria-labelledby=""layout_191"" href=""https://www.eperolehan.gov.my/cancel-new-supplier-account-pre-registration"" id=""yui_patched_v3_11_0_1_1704388360426_290"" role=""menuitem"" tabindex=""-1"">Batal Pra-Pendaftaran Akaun Baru Pembekal</a>",Batal Pra-Pendaftaran Akaun Baru Pembekal
a,"<a aria-labelledby=""layout_193"" href=""https://www.eperolehan.gov.my/annual-ministry-procurement-plan"" id=""yui_patched_v3_11_0_1_1704388360426_292"" role=""menuitem"" tabindex=""-1"">Perancangan Perolehan Tahunan Kementerian</a>",Perancangan Perolehan Tahunan Kementerian
a,"<a aria-labelledby=""layout_196"" class="""" href=""https://www.eperolehan.gov.my/search1"" id=""yui_patched_v3_11_0_1_1704388360426_294"" role=""menuitem"" tabindex=""-1""> .. </a>",..
a,"<a href=""https://www.eperolehan.gov.my/quick-links"">PAUTAN SEGERA</a>",PAUTAN SEGERA
a,"<a href=""https://www.eperolehan.gov.my/quotation-tender-notice"">Notis Sebut Harga / Tender</a>",Notis Sebut Harga / Tender
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt313"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt313',process:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt313',update:'_scNoticeBoard_WAR_NGePportlet_:form:publishdtl',updateSelector:'@(.nbsrhresultsStyleClass)',onstart:function(cfg){blockWidget.show();;},oncomplete:function(xhr,status,args){blockWidget.hide();;}});return false;""><span style=""padding-right:15px;padding-bottom:10px; font-size:12px"">Hari Ini</span></a>",Hari Ini
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt321"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt321',update:'_scNoticeBoard_WAR_NGePportlet_:form:publishdtl',updateSelector:'@(.nbsrhresultsStyleClass)',onstart:function(cfg){blockWidget.show();;},oncomplete:function(xhr,status,args){blockWidget.hide();;}});return false;""><span style=""padding-right:15px;padding-bottom:10px;font-size:12px"">Semalam</span></a>",Semalam
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt358"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt358',update:'_scNoticeBoard_WAR_NGePportlet_:form:briefingdtls',onstart:function(cfg){blockWidget.show();;},oncomplete:function(xhr,status,args){blockWidget.hide();;}});return false;""><span style=""padding-right:15px;padding-bottom:10px;font-size:12px"">Hari Ini</span></a>",Hari Ini
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt363"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt363',update:'_scNoticeBoard_WAR_NGePportlet_:form:briefingdtls',onstart:function(cfg){blockWidget.show();;},oncomplete:function(xhr,status,args){blockWidget.hide();;}});return false;""><span style=""padding-right:15px;padding-bottom:10px;font-size:12px"">Semalam</span></a>",Semalam
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt374"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt374',update:'_scNoticeBoard_WAR_NGePportlet_:form:sitevisitdtls',onstart:function(cfg){blockWidget.show();;},oncomplete:function(xhr,status,args){blockWidget.hide();;}});return false;""><span style=""padding-right:15px;margin-bottom:20px;font-size:12px"">Hari Ini</span></a>",Hari Ini
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt379"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt379',update:'_scNoticeBoard_WAR_NGePportlet_:form:sitevisitdtls',onstart:function(cfg){blockWidget.show();;},oncomplete:function(xhr,status,args){blockWidget.hide();;}});return false;""><span style=""padding-right:15px;padding-bottom:10px;font-size:12px"">Semalam</span></a>",Semalam
a,"<a href=""#_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbresultTabs"">DIIKLANKAN</a>",DIIKLANKAN
a,"<a href=""#_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:1:nbresultTabs"">NOTIS TELAH DIKEMASKINI</a>",NOTIS TELAH DIKEMASKINI
a,"<a href=""#_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:2:nbresultTabs"">DITUTUP</a>",DITUTUP
a,"<a href=""#_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:3:nbresultTabs"">SELESAI</a>",SELESAI
a,"<a href=""#_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:4:nbresultTabs"">DIBATALKAN</a>",DIBATALKAN
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:0:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:0:j_idt403'});return false;"" style=""margin-right:20px;"">PERKHIDMATAN PEMBERSIHAN PEJABAT LPKP SABAH (KOTA KINABALU, SANDAKAN DAN TAWAU)</a>","PERKHIDMATAN PEMBERSIHAN PEJABAT LPKP SABAH (KOTA KINABALU, SANDAKAN DAN TAWAU)"
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:1:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:1:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA HOSPITAL KLUSTER BAGI MEMBEKAL DAN MENGHANTAR REAGEN RAPID ANTIGEN DETECTION FOR RESPIRATORY VIRUSES KIT"" UNTUK TEMPOH DUA (2) TAHUN BAGI HOSPITAL-HOSPITAL DI NEGERI MELAKA .</a>","SEBUT HARGA HOSPITAL KLUSTER BAGI MEMBEKAL DAN MENGHANTAR REAGEN RAPID ANTIGEN DETECTION FOR RESPIRATORY VIRUSES KIT"" UNTUK TEMPOH DUA (2) TAHUN BAGI HOSPITAL-HOSPITAL DI NEGERI MELAKA ."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:2:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:2:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA PERKHIDMATAN PENYEWAAN DAN PENYELENGGARAAN MESIN PENYALIN SEBANYAK TIGA (3) UNIT SERTA CAJ BACAAN METER SELAMA DUA (2) TAHUN DI HOSPITAL CHANGKAT MELINTANG, PERAK.</a>","SEBUT HARGA PERKHIDMATAN PENYEWAAN DAN PENYELENGGARAAN MESIN PENYALIN SEBANYAK TIGA (3) UNIT SERTA CAJ BACAAN METER SELAMA DUA (2) TAHUN DI HOSPITAL CHANGKAT MELINTANG, PERAK."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:3:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:3:j_idt403'});return false;"" style=""margin-right:20px;"">TENDER PERKHIDMATAN KAWALAN KESELAMATAN (TANPA SENJATA API) BAGI TEMPOH TIGA PULUH ENAM (36) BULAN UNTUK KEGUNAAN KOLEJ KOMUNITI TAIPING, KEMENTERIAN PENDIDIKAN TINGGI.</a>","TENDER PERKHIDMATAN KAWALAN KESELAMATAN (TANPA SENJATA API) BAGI TEMPOH TIGA PULUH ENAM (36) BULAN UNTUK KEGUNAAN KOLEJ KOMUNITI TAIPING, KEMENTERIAN PENDIDIKAN TINGGI."
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:4:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:4:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUT HARGA PERKHIDMATAN PEMBERSIHAN KAWASAN DAN PENCUCIAN KLINIK-KLINIK DAN BANGUNAN PEJABAT KESIHATAN DAERAH SEBERANG PERAI TENGAH BAGI TEMPOH 4 </a>",SEBUT HARGA PERKHIDMATAN PEMBERSIHAN KAWASAN DAN PENCUCIAN KLINIK-KLINIK DAN BANGUNAN PEJABAT KESIHATAN DAERAH SEBERANG PERAI TENGAH BAGI TEMPOH 4
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:5:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:5:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL BAHAN MENTAH MAKANAN (KERING) UNTUK TUJUAN PENGAJARAN DAN PEMBELAJARAN (PdP) PROGRAM KULINARI DAN OPERASI PERHOTELAN BAGI TEMPOH DUA TAHUN DI KOLEJ KOMUNITI ROMPIN</a>",MEMBEKAL BAHAN MENTAH MAKANAN (KERING) UNTUK TUJUAN PENGAJARAN DAN PEMBELAJARAN (PdP) PROGRAM KULINARI DAN OPERASI PERHOTELAN BAGI TEMPOH DUA TAHUN DI KOLEJ KOMUNITI ROMPIN
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:6:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:6:j_idt403'});return false;"" style=""margin-right:20px;"">PERKHIDMATAN PERCETAKAN DAN PEMBEKALAN DOKUMEN BERCETAK UNTUK IBU PEJABAT JPJ SELAMA TIGA (3) TAHUN</a>",PERKHIDMATAN PERCETAKAN DAN PEMBEKALAN DOKUMEN BERCETAK UNTUK IBU PEJABAT JPJ SELAMA TIGA (3) TAHUN
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:7:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:7:j_idt403'});return false;"" style=""margin-right:20px;"">PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGUJI DAN MENTAULIAH GUNA PERKAKASAN DAN PERISIAN ICT DI HOSPITAL RAJA PEREMPUAN ZAINAB II, KOTA BHARU, KELANTAN BAGI TEMPOH TIGA PULUH ENAM (36) BULAN</a>","PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGUJI DAN MENTAULIAH GUNA PERKAKASAN DAN PERISIAN ICT DI HOSPITAL RAJA PEREMPUAN ZAINAB II, KOTA BHARU, KELANTAN BAGI TEMPOH TIGA PULUH ENAM (36) BULAN"
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:8:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:8:j_idt403'});return false;"" style=""margin-right:20px;"">PERKHIDMATAN PEMBERSIHAN DALAM DAN LUAR BANGUNAN SERTA PENYELENGGARAAN LANSKAP DI MRSM PDRM KULIM, KEDAH</a>","PERKHIDMATAN PEMBERSIHAN DALAM DAN LUAR BANGUNAN SERTA PENYELENGGARAAN LANSKAP DI MRSM PDRM KULIM, KEDAH"
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:9:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:9:j_idt403'});return false;"" style=""margin-right:20px;"">SEBUTHARGA PERKHIDMATAN PENYEWAAN, PENYELENGGARAAN DAN CAJ BACAAN METER BAGI SEMBILAN ( 9 ) UNIT MESIN PENYALIN HITAM DAN PUTIH SERTA SATU ( 1 ) UNIT MESIN PENYALIN BERWARNA DI HOSPITAL KOTA TINGGI, JOHOR</a>","SEBUTHARGA PERKHIDMATAN PENYEWAAN, PENYELENGGARAAN DAN CAJ BACAAN METER BAGI SEMBILAN ( 9 ) UNIT MESIN PENYALIN HITAM DAN PUTIH SERTA SATU ( 1 ) UNIT MESIN PENYALIN BERWARNA DI HOSPITAL KOTA TINGGI, JOHOR"
a,"<a class=""ui-commandlink ui-widget"" href=""#"" id=""_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:10:j_idt403"" onclick=""PrimeFaces.ab({source:'_scNoticeBoard_WAR_NGePportlet_:form:j_idt401:0:nbsearchresults:10:j_idt403'});return false;"" style=""margin-right:20px;"">MEMBEKAL DAN MENGHANTAR BEKALAN UBAT MICAFUNGIN SODIUM 50MG POWDER FOR INJECTION BAGI TEMPOH SATU (1) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN</a>","MEMBEKAL DAN MENGHANTAR BEKALAN UBAT MICAFUNGIN SODIUM 50MG POWDER FOR INJECTION BAGI TEMPOH SATU (1) TAHUN KE UNIT FARMASI LOGISTIK, JABATAN FARMASI, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN"
