Final,Predicted_Class
"sebut harga perkhidmatan mengambil, mengangkut, membawa, menurun dan menyusun ekshibit pejabat kpdn negeri kelantan bagi tempoh 24 bulan.",Unwanted
"perkhidmatan penyelenggaraan penghawa dingin di balai-balai polis dan ibu pejabat polis daerah di kontinjen johor ( bangunan lama ipk, balai -balai & ipd johor bahru utara, ipd kulai dan balai polis kelapa sawit dan balai-balai & ipd iskandar puteri bagi tempoh lapan (8) bulan",Unwanted
"perkhidmatan penyelenggaraan penghawa dingin di balai-balai polis dan ibu pejabat polis daerah di kontinjen johor ( balai -balai & ipd seri alam, ipd kota tinggi , stor barang kes pandan & balai-balai polis daerah johor bahru selatan tempoh lapan (8) bulan",Unwanted
"perkhidmatan penyelenggaraan penghawa dingin di balai-balai polis dan ibu pejabat polis daerah di kontinjen johor ( ipd pontian & balai polis ayer baloi, ipd mersing, ipd batu pahat, ipd kluang & balai polis sri lalang, ipd segamat dan balai polis pagoh, muar bagi tempoh lapan (8) bulan",Unwanted
sebut harga membekal dan menghantar bahan mentah untuk memasang 155 unit pintu tandas bilik penginapan wisma transit kuala lumpur,Tender
,Unwanted
hari ini,Unwanted
semalam,Unwanted
pembekalan alat ganti air handling unit bagi kd selangor - dbat/mc/sh/24/03,Tender
pembekalan alat ganti pemampat udara hp/lp bagi kd selangor - dbat/mc/sh/24/04,Tender
"perkhidmatan memotong rumput, mencuci pejabat, bilik kuliah dan parit / longkang di maktab pdrm kuala kubu bharu, selangor.",Unwanted
perkhidmatan dobi dan jahitan alteration pangkalan tldm pulau indah,Unwanted
"sebutharga penyewaan 5 unit mesin penyalin warna, 4 unit mesin penyalin hitam putih heavy duty dan 26 mesin penyalin hitam putih medium duty di markas latihan tentera darat port dickson bagi tempoh 24 bulan 1/2/2024 hingga 31/1/2026",Tender
perkhidmatan memotong rumput di penjara kluang johor bagi tempoh 2 tahun,Tender
perkhidmatan hiasan pentas untuk jabatan-jabatan di bukit aman,Unwanted
"sebutharga bekalan kertas pelbagai saiz & kegunaan bagi tempoh dua (2) tahun, hospital raja permaisuri bainun, ipoh",Tender
"sebutharga membekal alat domestik bagi tempoh 2 tahun di hospital raja permaisuri bainun, ipoh",Tender
"perkhidmatan penyewaan kenderaan 4wd, van dan motorbot untuk projek pembangunan jmg sabah tahun 2024",Tender
perkhidmatan penyewaan dan bacaan meter bagi tiga (3) mesin penyalin di pejabat penasihat undang-undang negeri selangor,Tender
tawaran sebutharga membekal dan menghantar disposable withdrawal spike (green) ke hospital tuanku fauziah kangar perlis bagi tempoh selama tiga (3) tahun,Tender
sebutharga perkhidmatan mencetak dan membekal bahan bercetak selama enam (6) bulan ke hospital kemaman (hk.sh: 23/2023),Tender
"perolehan secara sebut harga bagi perkhidmatan pembersihan dan pemeriksaan sistem pagar elektrik (speg) kg. pelong, setiu, terengganu (t-002), jabatan perhilitan negeri terengganu.",Unwanted
"sebut harga perkhidmatan penambahbaikan, penyelenggaraan dan khidmat sokongan sistem mykendiri",Unwanted
perkhidmatan sewaan 1 unit truck mounted ultra low volume (ulv) untuk aktiviti kawalan dan pencegahan denggi daerah kota kinabalu bagi unit rkpbv pejabat kesihatan kawasan kota kinabalu selama dua (2) tahun,Tender
"tender perkhidmatan kawalan keselamatan (bersenjata dan tanpa senjata) dan penghantaran wang cash in transit (cit) bagi tempoh tiga (3) tahun di bangunan utama hospital kajang dan kompleks wanita dan kanak-kanak (wcc) hospital kajang, selangor",Tender
perkhidmatan sewaan 106 unit mesin penyalin hitam putih (medium duty) bagi tempoh 24 bulan untuk kegunaan sekolah-sekolah dan pejabat pendidikan daerah johor bahru mulai 01 februari 2024 hingga 31 januari 2026,Tender
perkhidmatan pembersihan bangunan dan kawasan maktab penjara malaysia untuk tempoh tiga (3) tahun,Tender
"perkhidmatan kawalan keselamatan (tanpa senjata) di pejabat kesihatan daerah hulu langat, klinik-klinik kesihatan dan klinik komuniti di bawah pentadbiran pejabat kesihatan daerah hulu langat",Tender
,Unwanted
hari ini,Unwanted
semalam,Unwanted
perkhidmatan memotong dan meracun rumput di kd sultan ismail bagi tahun 2024,Tender
"perkhidmatan pemeliharaan, pemuliharaan dan penyelenggaraan landskap di kd sultan ismail bagi tahun 2024",Tender
pembekalan first responder respirator mask bagi kapal-kapal di ptkk - dbat/mc/sh/24/01,Tender
perkhidmatan kawalan keselamatan tanpa senjata dan perkhidmatan cash in transit dari pemungut utama ke institusi kewangan (bank) terpilih bagi tempoh 2 bulan 23 hari,Unwanted
sebutharga perkhidmatan kebersihan bangunan dan kawasan bagi sekolah kurang murid (skm) di bawah pentadbiran pejabat pendidikan daerah perak tengah bagi tempoh mulai 01.03.2022 hingga 31.08.2024 (6 bulan),Tender
"membekal dan menghantar bekalan coated braided polyglycolic acid 1/0 bagi kegunaan dewan bedah, hospital sultan ismail johor bahru untuk tempoh dua (2) tahun",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli pos tuel, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli pos simpor zon 2, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli pos hendrop zon 1, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli pos hendrop zon 2, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli pos hau zon 1, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli pos balar zon 2, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli pos gob zon 1, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli pos gob zon 2, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"perkhidmatan penyelenggaraan sistem rawatan air pelbagai sumber di perkampungan orang asli koa kuala wias zon 1, gua musang, negeri kelantan bagi tempoh 24 bulan",Tender
"membekal dan menghantar bekalan surgical instrument cleaning solution untuk kegunaan jabatan anestesiologi, hospital sultan ismail johor bahru bagi tempoh dua (2) tahun",Tender
sebutharga perkhidmatan penyewaan mesin fotostat serta meter reading untuk kegunaan pejabat kesihatan daerah manjung dan klinik – klinik kesihatan di bawahnya bagi tempoh 3 tahun,Tender
"membekal, menghantar, menguji dan mentauliah peralatan perubatan bronchofibre video scope bagi jabatan pembedahan, hospital sultan ismail johor bahru",Tender
"sebutharga membekal dan menghantar atorvastatin 40mg tablet untuk kegunaan klinik kesihatan daerah kluang, johor",Tender
"sebutharga membekal dan menghantar budesonide 160mcg + formoterol 4.5mcg turbuhaler untuk kegunaan klinik kesihatan daerah kluang, johor",Tender
